名字,类型,等级,区分,成效,世界对应等级,对应图片下标,升级消耗
九天堡,灵气加成,1,1,4000,1,0,10
维龙泽,灵气加成,1,2,6000,1,1,10
修罗血池,突破加成,1,1,5,1,2,10
潮海翎,突破加成,1,2,5,1,3,10
积石渊,灵气加成,1,1,8000,2,4,20
天师山,灵气加成,1,2,10000,2,5,20
临幽域,突破加成,1,1,5,2,6,20
守仙门,突破加成,1,2,5,2,7,20
如意林,灵气加成,1,1,12000,3,8,30
瑶碧海,灵气加成,1,2,14000,3,9,30
莲华湖,突破加成,1,1,5,3,10,30
应龙洞,突破加成,1,2,5,3,11,30
诸余峰,灵气加成,1,1,16000,4,12,40
七弦龙舟,灵气加成,1,2,18000,4,13,40
水火道,突破加成,1,1,5,4,14,40
九龙域,突破加成,1,2,5,4,15,40
伏天礁,灵气加成,1,1,20000,5,16,50
伏神岭,灵气加成,1,2,22000,5,17,50
金霞域,突破加成,1,1,5,5,18,50
天龙境,突破加成,1,2,5,5,19,50
犀渠壑,灵气加成,1,1,24000,6,20,60
东华域,灵气加成,1,2,26000,6,21,60
龙侯宫,突破加成,1,1,5,6,22,60
天罡境,突破加成,1,2,5,6,23,60
